# Common Ethernet OUIs for LAN fingerprinting. Not the full IEEE registry.
00:00:0C	Cisco
00:00:48	Epson
00:00:AA	Xerox
00:01:E6	Hewlett Packard
00:03:93	Apple
00:04:96	Linksys
00:05:5D	D-Link
00:05:69	VMware
00:06:25	Linksys
00:07:AB	Samsung
00:08:9B	QNAP
00:09:0F	Fortinet
00:0A:27	Apple
00:0A:95	Apple
00:0C:29	VMware
00:0C:42	MikroTik
00:0D:4B	Roku
00:0E:58	Sonos
00:10:4B	Seagate
00:11:32	Synology
00:12:47	Samsung
00:13:A9	Sony
00:14:22	Dell
00:15:5D	Microsoft
00:15:6D	Ubiquiti
00:17:88	Philips Lighting
00:17:9A	Belkin
00:1B:17	Palo Alto Networks
00:1B:21	Intel
00:1B:63	Apple
00:1B:A9	Brother
00:1E:0B	Hewlett Packard
00:1E:8F	Canon
00:1E:C2	Apple
00:23:12	Apple
00:23:32	Apple
00:25:00	Apple
00:26:4A	Apple
00:50:56	VMware
00:50:E4	Apple
00:50:F2	Microsoft
00:90:A9	Western Digital
04:18:D6	Ubiquiti
04:D3:CF	Apple
04:D4:C4	ASUS
08:00:27	PCS Systemtechnik (VirtualBox)
0C:74:C2	Apple
10:93:E9	Apple
14:18:77	Dell
18:B4:30	Nest Labs
1C:1A:C0	Apple
20:4E:7F	Netgear
24:0A:C4	Espressif
24:5A:4C	Ubiquiti
24:A0:74	Apple
28:CD:C1	Raspberry Pi
2C:56:DC	ASUS
30:AE:A4	Espressif
34:12:98	Apple
3C:22:FB	Apple
3C:5A:B4	Google
3C:97:0E	Intel
3C:D9:2B	Hewlett Packard
40:B4:CD	Amazon
44:D9:E7	Ubiquiti
50:C7:BF	TP-Link
54:33:CB	Apple
54:60:09	Google
5C:AA:FD	Sonos
60:33:4B	Apple
68:9A:87	Amazon
68:D7:9A	Ubiquiti
70:56:81	Apple
78:4F:43	Apple
78:8A:20	Ubiquiti
7C:1E:52	Microsoft
80:2A:A8	Ubiquiti
84:F3:EB	Espressif
88:63:DF	Apple
94:EB:2C	Google
A0:04:60	Netgear
A4:2B:B0	TP-Link
A4:83:E7	Apple
AC:63:BE	Amazon
B8:27:EB	Raspberry Pi
B8:E9:37	Sonos
BC:DD:C2	Espressif
C0:25:E9	TP-Link
CC:50:E3	Espressif
D0:03:4B	Apple
DC:3A:5E	Roku
DC:A6:32	Raspberry Pi
E4:5F:01	Raspberry Pi
F0:09:D8	Google
F0:18:98	Apple
F0:99:BF	Apple
F0:D2:F1	Amazon
F0:9F:C2	Ubiquiti
F4:F2:6D	TP-Link
F4:F5:D8	Google
